S/N,Joined Proctor on,Bootcamp,Score,% Score,% Completed,M1-S1 Correct,M1-S1 Wrong,M1-S1 Tries,M1-S2 Tries,M2-S1 Correct,M2-S1 Wrong,M2-S1 Tries,M2-S2 Tries,M3-S1 Correct,M3-S1 Wrong,M3-S1 Tries,M3-S2 Tries,M4-S1 Correct,M4-S1 Wrong,M4-S1 Tries,M4-S2 Tries,M5-S1 Correct,M5-S1 Wrong,M5-S1 Tries,M5-S2 Tries,M6-S1 Correct,M6-S1 Wrong,M6-S1 Tries,M6-S2 Tries,M7-S1 Correct,M7-S1 Wrong,M7-S1 Tries,M7-S2 Tries,M8-S1 Correct,M8-S1 Wrong,M8-S1 Tries,M8-S2 Tries,M9-S1 Correct,M9-S1 Wrong,M9-S1 Tries,M9-S2 Tries,M10-S1 Correct,M10-S1 Wrong,M10-S1 Tries,M10-S2 Tries
4295,2015-12-29,FALSE,131,65.50%,100,6,0,0,0,8,2,2,0,0,0,0,2,13,3,3,46,2,2,2,1,2,2,0,1,6,0,0,0,9,1,1,0,17,2,2,0,37,6,6,1
4297,2015-12-29,FALSE,168,84.00%,100,5,1,1,0,4,6,6,0,0,6,6,6,14,2,2,1,4,0,0,1,3,1,0,1,3,3,3,0,10,0,0,0,17,2,2,0,42,1,1,1
4298,2015-12-29,FALSE,143,71.50%,100,5,1,1,0,10,0,0,0,0,2,2,1,15,1,1,2,4,0,0,42,4,0,0,1,5,1,1,0,7,3,3,0,18,1,1,0,42,1,1,1
4299,2016-01-04,FALSE,184,92.00%,100,4,2,2,0,8,2,2,0,0,2,2,1,15,1,1,1,4,0,0,1,4,0,0,1,6,0,0,0,9,1,1,0,17,2,2,0,42,1,1,1
4300,2015-12-29,FALSE,123,61.50%,100,2,4,4,0,6,4,4,0,0,3,3,1,5,11,11,1,2,2,2,2,3,1,0,1,2,4,4,0,3,7,7,0,13,6,6,0,14,29,29,1
4303,2015-12-29,FALSE,158,79.00%,100,5,1,1,0,6,4,4,0,0,1,1,1,15,1,1,1,4,0,0,28,4,0,0,1,6,0,0,0,10,0,0,0,17,2,2,0,42,1,1,1
4304,2015-12-29,TRUE,175,87.50%,100,5,1,1,0,8,2,2,0,0,2,2,2,12,4,4,2,4,0,0,1,4,0,0,1,3,3,3,0,9,1,1,0,18,1,1,0,39,4,4,1
4306,2015-12-29,FALSE,178,89.00%,100,4,2,2,0,6,4,4,0,0,0,0,1,15,1,1,1,4,0,0,1,3,1,0,1,3,3,3,0,10,0,0,0,19,0,0,0,37,6,6,1
4307,2015-12-29,FALSE,169,84.50%,100,5,1,1,0,8,2,2,0,0,3,3,1,12,4,4,2,2,2,2,1,4,0,0,1,5,1,1,0,9,1,1,0,18,1,1,0,33,10,10,1
4315,2015-12-29,FALSE,189,94.50%,100,6,0,0,0,8,2,2,0,0,0,0,1,16,0,0,1,4,0,0,1,4,0,0,1,4,2,2,0,10,0,0,0,19,0,0,0,41,2,2,1
