,S/N,Joined Proctor on,Bootcamp,Score,% Score,% Completed,M1-S1 Correct,M1-S1 Wrong,M1-S1 Tries,M1-S2 Tries,M2-S1 Correct,M2-S1 Wrong,M2-S1 Tries,M2-S2 Tries,M3-S1 Correct,M3-S1 Wrong,M3-S1 Tries,M3-S2 Tries,M4-S1 Correct,M4-S1 Wrong,M4-S1 Tries,M4-S2 Tries,M5-S1 Correct,M5-S1 Wrong,M5-S1 Tries,M5-S2 Tries,M6-S1 Correct,M6-S1 Wrong,M6-S1 Tries,M6-S2 Tries,M7-S1 Correct,M7-S1 Wrong,M7-S1 Tries,M7-S2 Tries,M8-S1 Correct,M8-S1 Wrong,M8-S1 Tries,M8-S2 Tries,M9-S1 Correct,M9-S1 Wrong,M9-S1 Tries,M9-S2 Tries,M10-S1 Correct,M10-S1 Wrong,M10-S1 Tries,M10-S2 Tries
161,3245,2015-12-29,0,185,0.925,100,5,1,1,0,7,3,3,0,0,0,0,1,16,0,0,1,4,0,0,1,4,0,0,1,5,1,1,0,9,1,1,0,16,3,3,0,42,1,1,1
162,3246,2016-02-19,0,170,0.85,100,6,0,0,0,4,6,6,0,0,3,3,1,13,3,3,1,3,1,1,2,4,0,0,1,5,1,1,0,9,1,1,0,17,2,2,0,36,7,7,1
163,3247,2016-01-04,0,186,0.93,100,5,1,1,0,8,2,2,0,0,2,2,1,14,2,2,1,4,0,0,1,4,0,0,1,5,1,1,0,10,0,0,0,18,1,1,0,43,0,0,1
164,3248,2016-01-07,0,174,0.87,100,4,2,2,0,9,1,1,0,0,3,3,1,13,3,3,1,2,2,2,1,4,0,0,1,5,1,1,0,6,4,4,0,19,0,0,0,38,5,5,1
165,3249,2015-12-29,0,167,0.835,100,6,0,0,0,8,2,2,0,0,4,4,1,10,6,6,1,3,1,1,1,4,0,0,1,4,2,2,0,9,1,1,0,14,5,5,0,36,7,7,1
166,3251,2015-12-29,0,188,0.94,100,6,0,0,0,8,2,2,0,0,1,1,1,14,2,2,1,4,0,0,1,4,0,0,1,6,0,0,0,9,1,1,0,19,0,0,0,42,1,1,1
167,3253,2015-12-29,0,166,0.83,100,4,2,2,0,6,4,4,0,0,4,4,1,13,3,3,1,4,0,0,2,3,1,0,1,3,3,3,0,8,2,2,0,17,2,2,0,36,7,7,1
168,3255,2015-12-29,0,152,0.76,100,4,2,2,0,7,3,3,0,0,2,2,1,13,3,3,1,4,0,0,8,4,0,0,1,3,3,3,0,8,2,2,0,16,3,3,0,38,5,5,14
169,3256,2015-12-29,0,179,0.895,100,5,1,1,0,9,1,1,0,0,2,2,1,15,1,1,1,4,0,0,1,4,0,0,1,2,4,4,0,10,0,0,0,15,4,4,0,40,3,3,1
170,3257,2015-12-29,0,181,0.905,100,6,0,0,0,7,3,3,0,0,2,2,1,16,0,0,1,2,2,2,1,4,0,0,1,4,2,2,0,10,0,0,0,18,1,1,0,39,4,4,1
171,3258,2015-12-29,0,152,0.76,100,5,1,1,0,5,5,5,0,0,3,3,1,9,7,7,1,3,1,1,2,4,0,0,1,3,3,3,0,6,4,4,0,13,6,6,0,31,12,12,1
172,3260,2015-12-29,0,174,0.87,100,3,3,3,0,8,2,2,0,0,4,4,2,16,0,0,1,4,0,0,1,4,0,0,1,4,2,2,0,6,4,4,0,17,2,2,0,40,3,3,1
173,3261,2015-12-29,0,172,0.86,100,6,0,0,0,8,2,2,0,0,2,2,2,13,3,3,2,4,0,0,8,4,0,0,2,6,0,0,0,10,0,0,0,17,2,2,0,39,4,4,1
174,3262,2015-12-29,0,149,0.745,100,5,1,1,0,6,4,4,0,0,5,5,1,13,3,3,1,3,1,1,21,4,0,0,1,3,3,3,0,7,3,3,0,16,3,3,0,40,3,3,1
175,3264,2015-12-29,0,156,0.78,100,4,2,2,0,8,2,2,0,0,2,2,1,11,5,5,1,4,0,0,2,4,0,0,1,4,2,2,0,3,7,7,0,12,7,7,0,32,11,11,1
176,3266,2015-12-29,0,186,0.93,100,6,0,0,0,8,2,2,0,0,3,3,1,15,1,1,1,4,0,0,1,4,0,0,1,5,1,1,0,10,0,0,0,18,1,1,0,42,1,1,1
177,3267,2016-02-25,0,181,0.905,100,4,2,2,0,8,2,2,0,0,2,2,1,14,2,2,1,4,0,0,1,3,1,0,1,5,1,1,0,9,1,1,0,18,1,1,0,41,2,2,1
178,3270,2015-12-29,0,177,0.885,100,6,0,0,0,8,2,2,0,0,2,2,1,15,1,1,1,2,2,2,4,4,0,0,1,3,3,3,0,10,0,0,0,18,1,1,0,39,4,4,1
179,3271,2015-12-29,0,180,0.9,100,6,0,0,0,9,1,1,0,0,2,2,1,15,1,1,1,2,2,2,3,4,0,0,1,4,2,2,0,10,0,0,0,18,1,1,0,39,4,4,1
180,3273,2015-12-29,0,164,0.82,100,5,1,1,0,8,2,2,0,0,4,4,1,13,3,3,1,4,0,0,10,3,1,0,1,6,0,0,0,10,0,0,0,16,3,3,0,35,8,8,1
181,3274,2015-12-29,0,179,0.895,100,6,0,0,0,8,2,2,0,0,3,3,1,13,3,3,1,4,0,0,1,3,1,0,1,5,1,1,0,10,0,0,0,18,1,1,0,38,5,5,1
182,3275,2015-12-29,0,172,0.86,100,5,1,1,0,7,3,3,0,0,1,1,1,13,3,3,1,4,0,0,2,4,0,0,1,3,3,3,0,6,4,4,0,15,4,4,0,41,2,2,2
183,3276,2015-12-29,1,182,0.91,100,6,0,0,0,7,3,3,0,0,1,1,1,16,0,0,1,4,0,0,1,4,0,0,1,3,3,3,0,10,0,0,0,18,1,1,0,38,5,5,1
184,3279,2015-12-29,0,188,0.94,100,5,1,1,0,10,0,0,0,0,1,1,1,14,2,2,1,4,0,0,1,4,0,0,1,6,0,0,0,10,0,0,0,19,0,0,0,40,3,3,1
185,3280,2015-12-29,0,156,0.78,100,4,2,2,0,7,3,3,0,0,1,1,1,14,2,2,7,4,0,0,18,3,1,0,2,5,1,1,0,10,0,0,0,18,1,1,0,39,4,4,1
186,3281,2015-12-29,1,177,0.885,100,4,2,2,0,5,5,5,0,0,2,2,1,16,0,0,2,4,0,0,3,3,1,0,1,6,0,0,0,10,0,0,0,19,0,0,0,38,5,5,1
187,3282,2015-12-29,1,172,0.86,100,6,0,0,0,6,4,4,0,0,3,3,1,12,4,4,1,4,0,0,1,4,0,0,1,4,2,2,0,7,3,3,0,17,2,2,0,38,5,5,1
188,3283,2015-12-29,1,188,0.94,100,5,1,1,0,7,3,3,0,0,0,0,1,14,2,2,1,4,0,0,1,4,0,0,1,6,0,0,0,10,0,0,0,19,0,0,0,42,1,1,1
